duration,emissions,cpu_power,ram_power,cpu_energy,ram_energy,energy_consumed,ram_total_size,Program,Optimization,Execution,Size
0.0029536250003729,1.990393591810209e-09,12.5,2.852411270141602,9.968590284693673e-09,2.054106928949147e-09,1.2022697213642816e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0064463840026292,4.065882159767623e-09,12.5,2.852411270141602,2.126997916699717e-08,3.289419694803112e-09,2.4559398861800285e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.002980869001476,2.009105412720365e-09,12.5,2.852411270141602,1.0083343744958661e-08,2.0523796349883326e-09,1.2135723379946994e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0040036999998847,2.683612095791625e-09,12.5,2.852411270141602,1.347697917076908e-08,2.73300854187657e-09,1.6209987712645648e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0028833969990955,1.911088231243471e-09,12.5,2.852411270141602,9.593607640252028e-09,1.950056511067916e-09,1.1543664151319944e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0063563959993189,3.935576503246325e-09,12.5,2.852411270141602,1.9772190967159988e-08,4.000114598105061e-09,2.3772305565265052e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.003791593000642,2.527162652235562e-09,12.5,2.852411270141602,1.2689194439493198e-08,2.5757820468015964e-09,1.5264976486294794e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0028523380024125,1.9206464647159233e-09,12.5,2.852411270141602,9.643784728218133e-09,1.9576146104584478e-09,1.1601399338676576e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0027431700000306,1.8475086996410166e-09,12.5,2.852411270141602,9.254055549313812e-09,1.9055652346104683e-09,1.1159620783924281e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0026963650016114,1.801460004312472e-09,12.5,2.852411270141602,9.060420135635164e-09,1.8210498728362703e-09,1.0881470008471435e-08,7.6064300537109375,Fibonacci_Linear,O0,10,10
0.0029536250003729,1.990393591810209e-09,12.5,2.852411270141602,9.968590284693673e-09,2.054106928949147e-09,1.2022697213642816e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0064463840026292,4.065882159767623e-09,12.5,2.852411270141602,2.126997916699717e-08,3.289419694803112e-09,2.4559398861800285e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.002980869001476,2.009105412720365e-09,12.5,2.852411270141602,1.0083343744958661e-08,2.0523796349883326e-09,1.2135723379946994e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0040036999998847,2.683612095791625e-09,12.5,2.852411270141602,1.347697917076908e-08,2.73300854187657e-09,1.6209987712645648e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0028833969990955,1.911088231243471e-09,12.5,2.852411270141602,9.593607640252028e-09,1.950056511067916e-09,1.1543664151319944e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0063563959993189,3.935576503246325e-09,12.5,2.852411270141602,1.9772190967159988e-08,4.000114598105061e-09,2.3772305565265052e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.003791593000642,2.527162652235562e-09,12.5,2.852411270141602,1.2689194439493198e-08,2.5757820468015964e-09,1.5264976486294794e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0028523380024125,1.9206464647159233e-09,12.5,2.852411270141602,9.643784728218133e-09,1.9576146104584478e-09,1.1601399338676576e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0027431700000306,1.8475086996410166e-09,12.5,2.852411270141602,9.254055549313812e-09,1.9055652346104683e-09,1.1159620783924281e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0026963650016114,1.801460004312472e-09,12.5,2.852411270141602,9.060420135635164e-09,1.8210498728362703e-09,1.0881470008471435e-08,7.6064300537109375,Fibonacci_Linear,O2,10,10
0.0029536250003729,1.990393591810209e-09,12.5,2.852411270141602,9.968590284693673e-09,2.054106928949147e-09,1.2022697213642816e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0064463840026292,4.065882159767623e-09,12.5,2.852411270141602,2.126997916699717e-08,3.289419694803112e-09,2.4559398861800285e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.002980869001476,2.009105412720365e-09,12.5,2.852411270141602,1.0083343744958661e-08,2.0523796349883326e-09,1.2135723379946994e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0040036999998847,2.683612095791625e-09,12.5,2.852411270141602,1.347697917076908e-08,2.73300854187657e-09,1.6209987712645648e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0028833969990955,1.911088231243471e-09,12.5,2.852411270141602,9.593607640252028e-09,1.950056511067916e-09,1.1543664151319944e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0063563959993189,3.935576503246325e-09,12.5,2.852411270141602,1.9772190967159988e-08,4.000114598105061e-09,2.3772305565265052e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.003791593000642,2.527162652235562e-09,12.5,2.852411270141602,1.2689194439493198e-08,2.5757820468015964e-09,1.5264976486294794e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0028523380024125,1.9206464647159233e-09,12.5,2.852411270141602,9.643784728218133e-09,1.9576146104584478e-09,1.1601399338676576e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
0.0027431700000306,1.8475086996410166e-09,12.5,2.852411270141602,9.254055549313812e-09,1.9055652346104683e-09,1.1159620783924281e-08,7.6064300537109375,Fibonacci_Linear,O0,10,30
